,Departement,Densite,25ans
0,48,15,25.2
1,23,21,21.7
2,04,24,24.8
3,15,25,22.8
4,05,25,25.3
5,52,28,25.8
6,55,30,27.2
7,58,30,23.6
8,32,31,23.8
9,09,31,24.5
10,12,32,24.5
11,36,32,24.2
12,46,33,22.2
13,2B,39,25.9
14,2A,39,24.1
15,19,41,24.4
16,18,42,25.5
17,70,44,27.2
18,40,44,25.0
19,89,45,26.7
20,24,46,23.0
21,43,46,26.6
22,03,46,24.9
23,61,46,26.6
24,65,51,24.7
25,10,52,29.8
26,39,52,27.1
27,08,52,28.1
28,41,52,26.6
29,16,59,25.4
30,07,59,26.0
31,53,59,29.7
32,11,61,25.8
33,21,61,29.8
34,47,62,25.8
35,88,62,26.6
36,79,62,27.3
37,86,63,30.0
38,71,64,25.8
39,81,67,26.5
40,87,68,27.1
41,51,70,30.8
42,82,70,28.3
43,73,72,28.3
44,02,72,30.0
45,28,73,29.6
46,26,79,28.7
47,63,83,28.6
48,50,84,26.3
49,22,87,26.5
50,64,89,25.9
51,72,91,29.7
52,80,92,30.8
53,17,94,24.7
54,37,99,29.5
55,27,99,30.1
56,45,100,30.6
57,85,101,27.2
58,25,103,30.9
59,56,111,26.8
60,01,112,30.4
61,49,114,31.6
62,66,116,26.3
63,14,125,29.8
64,30,127,27.8
65,29,135,27.7
66,54,140,30.7
67,60,141,31.6
68,84,157,28.6
69,35,158,32.3
70,42,160,29.9
71,33,161,29.9
72,57,168,27.8
73,38,170,31.6
74,83,179,25.5
75,74,186,29.6
76,34,190,29.6
77,76,200,30.6
78,44,207,31.4
79,68,217,28.4
80,31,219,31.8
81,62,220,31.2
82,90,233,29.9
83,971,238,30.2
84,67,238,29.7
85,77,239,33.5
86,06,253,26.2
87,974,342,36.7
88,13,400,29.7
89,59,454,33.2
90,69,572,33.2
91,78,631,32.4
92,976,682,60.2
93,91,719,33.6
94,95,994,34.9
95,94,5702,32.4
96,93,6918,35.6
97,92,9200,31.2
98,75,20720,27.2
