Index,0
01,5098.629534109737
02,6083.597640048726
03,4857.184927191958
04,1953.4430385152223
05,1699.2334005337111
06,12878.56330790016
07,4031.6072434478115
08,2862.850126257972
09,1846.16432751625
10,3357.5615470005887
11,4456.812258388255
12,3502.571965029472
13,21707.664318377072
14,8011.344967180958
15,2103.045084119573
16,4227.633916109305
17,7974.4170481931815
18,3901.9315064002994
19,3312.140768054951
21,6263.603995330687
22,7158.836456213605
23,1862.8329597010995
24,4987.906799709359
25,5178.268093868449
26,5171.67014095395
27,5139.465231760038
28,4280.00972221906
29,10779.302171433988
2A,1655.4101213969197
2B,1718.8018701597462
30,7722.342416072241
31,11311.549825379976
32,2170.533169514552
33,14990.786031862555
34,12131.136250238796
35,9465.862254681988
36,3140.660717844525
37,6420.243000954253
38,11031.291978472947
39,2851.3950739496554
40,4273.676815779153
41,4010.8949615959536
42,9538.481119342076
43,2629.5594692511604
44,12820.61483277621
45,6351.5359910088355
46,2235.2008895447802
47,4233.628779267574
48,971.3120218950445
49,7918.918165604904
50,5670.553640878852
51,6257.01707728415
52,2120.7264660881715
53,3103.4622359699674
54,7981.3645311658975
55,2323.3168169982537
56,8723.877423271984
57,11572.67528014051
58,3028.004739537948
59,25882.606483500072
60,7017.805140683307
61,3361.972851805426
62,15232.532037224591
63,7330.051742076082
64,7927.911832984951
65,3110.0918585489094
66,6077.853908054208
67,10927.225084163654
68,8503.046195392179
69,16958.549240274686
70,2407.1023983866335
71,7158.351870101979
72,6081.99154818953
73,4781.752400158953
74,7216.258800403089
75,19669.157814427534
76,13865.070507808528
77,10088.803096956555
78,9952.74027993837
79,3896.4538522800126
80,6829.367414939365
81,4309.723123310878
82,2718.290654207328
83,12060.409623023543
84,6317.803337092487
85,7065.066373941067
86,5043.027953721599
87,4752.968132102469
88,4776.947306035911
89,4367.2613574475035
90,2488.447885345647
91,9206.742538854469
92,12259.82186805951
93,9533.65051418641
94,11505.24400404324
95,9077.095457238855
